Organization Unit,Event Date,Survey Type,Administrative Unit,Site Name,Number of PC rounds,Month,Year,Latitude,Longitude,Age group,Diagnostic Test,Ascaris Nbr examined,Ascaris Nbr Positives,Ascaris % Positives,Ascaris % Positives heavy intensity,Ascaris % Positives Moderate intensity,Ankylostome Nbr examined,Ankylostome Nbr Positives,Ankylostome % Positives,Ankylostome % Positives heavy intensity,Ankylostome % Positives Moderate intensity,Trichuris Nbr examined,Trichuris Nbr Positives,Trichuris % Positives,Trichuris % Positives heavy intensity,Trichuris % Positives Moderate intensity,STH examined,STH Positives,STH % Positives
iuGjpnxnFbI,7/1/21,Mapping,04 Danan,Awley,0,July     ,2021,6.511229992,43.51283264,09 - 15,Kato-Katz,30,2,6,0,0,30,2,6,0,0,30,0,0,0,0,30,2,6
iuGjpnxnFbI,7/1/21,Mapping,9,Tuli,0,July     ,2021,6.747913361,44.28375244,09 - 15,Kato-Katz,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
iuGjpnxnFbI,7/1/21,Mapping,9,Tuli,0,July     ,2021,6.747921467,44.28376389,09 - 15,Kato-Katz,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0
iuGjpnxnFbI,7/1/21,Mapping,1,Yocale,0,July     ,2021,8.417861938,43.85385513,09 - 15,Kato-Katz,28,4,14,0,0,28,0,0,0,0,28,1,3,0,0,28,1,3
iuGjpnxnFbI,7/1/21,Mapping,11,Dudahade,0,July     ,2021,9.371805191,42.76723099,09 - 15,Kato-Katz,61,0,0,0,0,61,0,0,0,0,61,0,0,0,0,61,0,0
iuGjpnxnFbI,7/1/21,Mapping,12,Sh/nur isse,0,July     ,2021,9.356827736,42.77752304,09 - 15,Kato-Katz,52,0,0,0,0,52,1,1,0,0,52,0,0,0,0,52,1,1
iuGjpnxnFbI,7/1/21,Mapping,15,Garabase,0,July     ,2021,9.345157623,42.82505035,09 - 15,Kato-Katz,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0
iuGjpnxnFbI,7/1/21,Mapping,1932,Hangey elementary school ,0,July     ,2021,7.77344656,42.59866333,09 - 15,Kato-Katz,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0
iuGjpnxnFbI,7/1/21,Mapping,Aaday,Aaday,0,July     ,2021,5.22733736,39.82559204,09 - 15,Kato-Katz,30,2,6,0,0,30,29,96,0,0,30,0,0,0,0,30,29,96
iuGjpnxnFbI,7/1/21,Mapping,Abdulay 2,Abdulay 2,0,July     ,2021,9.894804955,41.3381424,09 - 15,Kato-Katz,30,5,16,0,0,30,3,10,0,0,30,4,13,0,0,30,4,13
iuGjpnxnFbI,7/1/21,Mapping,Adada,Adada,0,July     ,2021,9.521315575,41.98462296,09 - 15,Kato-Katz,58,0,0,0,0,58,0,0,0,0,58,0,0,0,0,58,0,0
iuGjpnxnFbI,7/1/21,Mapping,Adalilina Dawe,Adalil primary school ,0,July     ,2021,10.92236042,40.20815659,09 - 15,Kato-Katz,35,7,20,0,0,35,0,0,0,0,35,1,2,0,0,35,1,2
iuGjpnxnFbI,7/1/21,Mapping,Adela,Iyitirue,0,July     ,2021,13.23630524,40.83302307,09 - 15,Kato-Katz,29,0,0,0,0,29,0,0,0,0,29,0,0,0,0,29,0,0
iuGjpnxnFbI,7/1/21,Mapping,Adhakal,Adhekaly,0,July     ,2021,9.65136528,41.83485031,09 - 15,Kato-Katz,47,0,0,0,0,47,2,4,0,0,47,0,0,0,0,47,2,4
iuGjpnxnFbI,7/1/21,Mapping,Adoray,Adoray,0,July     ,2021,9.853947639,41.36910248,09 - 15,Kato-Katz,31,7,22,0,0,31,8,25,0,0,31,7,22,0,0,31,9,29
iuGjpnxnFbI,7/1/21,Mapping,Afdem,Afdem,0,July     ,2021,9.461519241,40.99526596,09 - 15,Kato-Katz,41,10,24,0,0,41,3,7,0,0,41,0,0,0,0,41,3,7
iuGjpnxnFbI,7/1/21,Mapping,Afdem,Afdem,0,July     ,2021,9.461506844,40.99545288,09 - 15,Kato-Katz,22,6,27,0,0,22,4,18,0,0,22,3,13,0,0,22,6,27
iuGjpnxnFbI,7/1/21,Mapping,Agensera,130,0,July     ,2021,12.44793701,42.14126205,09 - 15,Kato-Katz,67,10,14,0,0,67,12,17,0,0,67,5,7,0,0,67,17,25
