WASH Zone Name,WASH Woreda Name,Region,NTD Zone ID,NTD Region ID,NTD Woreda,Period,Total Number of Villages (Got) in the Woreda default,Total Number of Villages(Gots) to which HEWs are assigned default,Total Number of HEWs who have been provided with refresher training default,Total number of Households default,Total number of Households with improved toilet default,Total Number of Gots which are OD default,Total Number of Gots which are Primary ODF default,Total Number of Gots which are Secondary ODF default,Total Number of Gots which qualifies for Safely Managed sanitation default,Total number of school in the Woreda default,Total number of schools with Drinking Water with in school premise from protected sources default,Total number of schools with improved toilet default,Total number of schools which are sharing the improved toilet default,Total number of schools having shared toilet and meeting the  standard of toilet for Boys? Default,Total number of schools with separate toilet Block for girls default,Total number of schools with separate toilet block for girls meeting the standard of toilet for girls default,Total number of schools with separate toilet block for boys meeting the standard of toilet for boys default,Total Number of schools with  Handwashing station for children default,Total Number of schools with  Mensrual Hygiene Management system in the school default,Total number of Health Post in the Woreda default,Total number of Health Post with Drinking Water with in Health Post premise from protected sources default,Total number of Health Posts with improved toilet with permanent superstructure default,Total number of Health Posts with Incinerator default,Total number of Health Posts with Placenta Pit default,Total number of Health Posts with Ash pit default,Total number of Health Posts with infectious waste disposal pit default,Total number of Health Centre existing  in the Woreda default,Total number of Health Centre with Drinking Water with in Health Centre premise from protected sources default,Total number of Health Centre Drinking Water in the clinic and other departnets ( inlcuding  the maternity centre/ward) default,Total number of Health Centre with standard improved toilet with permanent superstructure default,Total number of Health Centre with standard improved toilet  with with permanent superstructure  in the maternity centre/ward default,Total number of Health Centre with Incinerator default,Total number of Health Centre with Placenta Pit default,Total number of Health Centre with Ash pit default,Total number of Health Centre with infectious waste disposal pit default
Eastern Tigray ,Gulo Meheda,Tigray,ORG00000948,ORG00000934,ORG00000952,2019,64,60,35,19210,7047,17,47,0,0,57,28,51,25,5,21,26,26,9,0,15,1,10,2,3,0,1,6,3,2,3,4,6,6,6,5
Eastern Tigray ,Erob,Tigray,ORG00000948,ORG00000934,ORG00000949,2019,28,17,0,6689,4017,0,28,0,0,42,7,26,20,20,6,6,6,5,0,5,1,4,4,4,0,0,6,3,0,4,3,6,6,0,6
Eastern Tigray ,Saesi Tsadamba,Tigray,ORG00000948,ORG00000934,ORG00000957,2019,116,51,29,34123,11250,19,97,0,0,67,35,63,29,0,34,34,34,0,0,26,2,15,1,1,0,0,6,3,1,4,0,5,6,6,0
Eastern Tigray ,Ganta Afeshum,Tigray,ORG00000948,ORG00000934,ORG00000953,2019,73,31,21,20304,9369,8,65,0,0,55,17,50,20,20,30,30,30,5,0,17,2,20,0,0,0,0,5,3,1,5,1,5,5,0,1
Eastern Tigray ,Hawuzen,Tigray,ORG00000948,ORG00000934,ORG00000955,2019,86,56,32,25559,6735,12,74,0,0,55,4,46,0,0,17,0,0,0,7,23,2,16,10,10,21,0,4,2,1,2,2,3,4,4,0
Eastern Tigray ,Klite Awlalo,Tigray,ORG00000948,ORG00000934,ORG00000956,2019,76,51,37,25669,12249,42,34,0,0,64,36,60,13,13,47,47,47,8,38,17,11,11,4,2,6,4,5,5,4,5,5,5,5,5,5
Eastern Tigray ,Atsbi Wenberta,Tigray,ORG00000948,ORG00000934,ORG00000951,2019,72,42,27,29676,13740,10,62,0,0,52,22,44,17,17,27,27,26,5,0,19,3,19,19,19,19,19,5,5,5,5,5,5,5,5,5
Eastern Tigray ,Adigrat/Town/,Tigray,ORG00000948,ORG00000934,ORG00000950,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Tigray ,Wukro/Town/,Tigray,ORG00000948,ORG00000934,ORG00000954,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekele Town Special,Semen/Town/,Tigray,,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekele Town Special,Kuyha/Town/,Tigray,,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekele Town Special,Kedamay Woyan/Town/,Tigray,,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekele Town Special,Hawlti/Town/,Tigray,,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekele Town Special,Hadnet/Town/,Tigray,,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekele Town Special,Ayder/Town/,Tigray,,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekele Town Special,Adyhaqi/Town/,Tigray,,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West Tigray,Tahtay Adiyabo,Tigray,ORG00000966,ORG00000934,ORG00000972,2019,73,40,16,22254,6002,73,0,0,0,47,15,40,19,18,21,20,6,6,0,17,0,0,0,0,0,0,7,5,0,7,0,7,7,7,7
North West Tigray,Laelay Adiyabo,Tigray,ORG00000966,ORG00000934,ORG00000968,2019,67,58,0,28489,13071,41,26,0,0,46,6,32,0,0,32,32,32,1,0,17,2,17,2,0,0,0,5,3,5,5,3,4,3,0,5
North West Tigray,Medebay Zana,Tigray,ORG00000966,ORG00000934,ORG00000967,2019,72,72,47,32396,9762,33,38,1,0,59,35,53,15,15,38,38,32,5,0,22,3,13,0,0,0,0,7,3,2,6,6,7,7,0,0
North West Tigray,Tahtay Qoraro      ,Tigray,ORG00000966,ORG00000934,ORG00000971,2019,52,40,40,17339,4666,16,36,0,0,27,9,25,14,14,11,11,10,1,0,10,0,9,3,0,0,0,4,0,3,4,0,4,4,3,4
North West Tigray,Asegede Tsimbila,Tigray,ORG00000966,ORG00000934,ORG00000970,2019,92,92,47,38520,13240,46,46,0,0,72,10,49,46,32,2,3,3,0,0,19,0,17,0,2,2,0,7,3,6,6,1,7,6,4,0
North West Tigray,Tselemti,Tigray,ORG00000966,ORG00000934,ORG00000973,2019,64,59,30,33717,10128,36,28,0,0,60,9,41,31,31,13,12,11,5,1,13,0,13,0,0,0,0,6,3,0,5,4,3,4,0,5
North West Tigray,Shiraro/Town/,Tigray,ORG00000966,ORG00000934,ORG00000969,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West Tigray,Shire Enidasilase/Town/,Tigray,ORG00000966,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South East,Seharti Samre,Tigray,ORG00000975,ORG00000934,ORG00000976,2019,83,47,26,31418,2627,19,64,0,0,56,10,38,12,12,12,26,26,7,0,25,5,23,13,6,3,6,6,4,0,6,0,5,6,3,6
South East,Enderta,Tigray,ORG00000975,ORG00000934,ORG00000979,2019,66,46,45,23785,10049,7,59,0,0,59,31,55,30,0,25,25,25,12,0,11,2,11,7,3,6,1,6,3,3,6,6,6,6,6,5
South East,Hintalo Wajirat,Tigray,ORG00000975,ORG00000934,ORG00000978,2019,87,54,37,41538,15672,41,46,0,0,74,40,70,10,10,60,60,60,14,0,23,1,16,9,9,9,0,7,3,1,7,1,3,7,4,7
South East,Degua Temben,Tigray,ORG00000975,ORG00000934,ORG00000977,2019,79,36,24,29503,13398,20,59,0,0,64,12,31,30,16,16,1,1,4,0,19,0,5,1,0,0,0,6,2,1,4,1,6,6,3,1
Southern Tigray,Alaje,Tigray,ORG00000980,ORG00000934,ORG00000983,2019,82,82,58,27168,4489,16,66,0,0,62,28,53,26,26,27,27,25,11,0,18,4,14,0,0,0,4,5,2,2,5,0,5,5,1,4
Southern Tigray,Endamehoni,Tigray,ORG00000980,ORG00000934,ORG00000985,2019,76,42,42,21702,2092,4,72,0,0,57,16,25,11,11,14,14,14,0,2,18,0,2,0,0,0,0,4,2,1,2,3,4,3,4,4
Southern Tigray,Raya Azebo,Tigray,ORG00000980,ORG00000934,ORG00000986,2019,77,35,14,41567,12939,4,73,0,0,46,30,23,5,5,17,20,20,26,0,18,4,18,0,0,0,0,8,7,8,8,8,8,8,8,8
Southern Tigray,Raya Alamata,Tigray,ORG00000980,ORG00000934,ORG00000982,2019,56,27,27,22069,6842,0,56,0,0,57,16,26,11,10,15,15,15,7,0,14,3,13,9,9,0,13,5,5,0,5,5,5,5,5,5
Southern Tigray,Ofla,Tigray,ORG00000980,ORG00000934,ORG00000988,2019,77,71,0,32146,1786,4,73,0,0,75,20,50,23,23,26,26,25,0,0,25,2,19,1,0,1,0,6,6,6,6,6,6,6,6,6
Southern Tigray,Maychew/Town/,Tigray,ORG00000980,ORG00000934,ORG00000984,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tigray,Korem/Town/-Wereda         ,Tigray,ORG00000980,ORG00000934,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Tigray,Alamata/Town/,Tigray,ORG00000980,ORG00000934,ORG00000981,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Tigray,Kafta Humera,Tigray,ORG00000989,ORG00000934,ORG00000991,2019,64,48,31,29466,3912,52,12,0,0,45,22,41,31,31,15,15,18,8,0,13,1,11,11,11,0,0,9,0,0,7,6,8,9,1,1
Western Tigray,Welkayit,Tigray,ORG00000989,ORG00000934,ORG00000992,2019,80,63,0,35310,2450,80,0,0,0,93,20,53,45,45,8,8,8,0,0,21,0,19,2,0,0,0,7,3,3,7,3,6,6,6,6
Western Tigray,Tsegede,Tigray,ORG00000989,ORG00000934,ORG00000993,2019,72,58,0,30050,4907,72,0,0,0,51,23,33,26,26,8,8,8,10,0,18,2,14,0,0,0,0,6,5,5,6,6,5,3,0,1
Western Tigray,Setit Humera/Town/,Tigray,ORG00000989,ORG00000934,ORG00000990,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
