woreda,woreda uid,zone,zone id,region,region id
Gemechis,ORG00000585,W. Harerge ,ORG00000571,Oromia,ORG00000311
Gena-Bossa,ORG00000685,Dawro  ,ORG00000681,SNNPR,ORG00000668
Gendawuha,ORG00000090,N. Gonder,ORG00000085,Amhara,ORG00000053
Gendo Kore,ORG00000260,Dire Dawa,ORG00000257,Dire Dawa,ORG00000256
Genji,ORG00000663,West Wellega ,ORG00000644,Oromia,ORG00000311
Gera,ORG00000516,Jimma  ,ORG00000508,Oromia,ORG00000311
Gesha,ORG00000747,Kafa  ,ORG00000743,SNNPR,ORG00000668
Geshe,ORG00000110,N. Shoa,ORG00000109,Amhara,ORG00000053
Geta,ORG00000727,Gurage  ,ORG00000719,SNNPR,ORG00000668
Geter Adwa,ORG00000945,Central Tigray ,ORG00000935,Tigray,ORG00000934
Gewane,ORG00000042,Harri,ORG00000040,Afar,ORG00000013
Gewata,ORG00000752,Kafa  ,ORG00000743,SNNPR,ORG00000668
