woreda,woreda uid,zone,zone id,region,region id
Awash Town,ORG00000015,Awsa,ORG00000014,Afar,ORG00000013
Awbare,ORG00000881,Faafame  ,ORG00000874,Somali,ORG00000843
Aweday Town,ORG00000390,E. Harerge ,ORG00000388,Oromia,ORG00000311
Awra,ORG00000028,Awsa,ORG00000014,Afar,ORG00000013
Axum Town,ORG00000937,Central Tigray ,ORG00000935,Tigray,ORG00000934
Ayder,ORG00000964,Mekele  ,ORG00000958,Tigray,ORG00000934
Ayira,ORG00000646,West Wellega ,ORG00000644,Oromia,ORG00000311
Aysaeta,ORG00000027,Awsa,ORG00000014,Afar,ORG00000013
Ayshia,ORG00000927,Siti  ,ORG00000925,Somali,ORG00000843
Babile,ORG00000875,Faafame  ,ORG00000874,Somali,ORG00000843
Babile,ORG00000409,E. Harerge ,ORG00000388,Oromia,ORG00000311
Babile Town,ORG00000410,E. Harerge ,ORG00000388,Oromia,ORG00000311
Babo Gambel,ORG00000657,West Wellega ,ORG00000644,Oromia,ORG00000311
Badesa Town,ORG00000575,W. Harerge ,ORG00000571,Oromia,ORG00000311
Bahi-dar Zurya,ORG00000214,West Gojam,ORG00000201,Amhara,ORG00000053
Bahirdar City,ORG00000202,West Gojam,ORG00000201,Amhara,ORG00000053
Bako Tibe,ORG00000603,W. Shewa ,ORG00000589,Oromia,ORG00000311
Bale,ORG00000319,Arsi  ,ORG00000312,Oromia,ORG00000311
Bambasi,ORG00000224,Asosa,ORG00000219,Beneshangul Gumuz,ORG00000218
Bambasi Camp,ORG00000289,Refugee Camp,ORG00000287,Gambella,ORG00000267
Banja Shikudad,ORG00000065,Awi,ORG00000054,Amhara,ORG00000053
Barbare,ORG00000351,Bale  ,ORG00000340,Oromia,ORG00000311
Bare,ORG00000854,Afder  ,ORG00000844,Somali,ORG00000843
Basketo,ORG00000820,Special  ,ORG00000818,SNNPR,ORG00000668
Basoliben,ORG00000072,E. Gojam,ORG00000066,Amhara,ORG00000053
Baso Naworana,ORG00000133,N. Shoa,ORG00000109,Amhara,ORG00000053
Bati,ORG00000153,Oromiya ,ORG00000149,Amhara,ORG00000053
Bati Town,ORG00000150,Oromiya ,ORG00000149,Amhara,ORG00000053
Batu Town,ORG00000416,E. Shewa ,ORG00000413,Oromia,ORG00000311
Becho,ORG00000559,S.W. Shewa ,ORG00000558,Oromia,ORG00000311
Becho,ORG00000495,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Bedele Rural,ORG00000382,Buno Bedele,ORG00000377,Oromia,ORG00000311
Bedele Town,ORG00000386,Buno Bedele,ORG00000377,Oromia,ORG00000311
Bedeno,ORG00000396,E. Harerge ,ORG00000388,Oromia,ORG00000311
Bedu,ORG00000033,Fanti,ORG00000031,Afar,ORG00000013
Begi,ORG00000658,West Wellega ,ORG00000644,Oromia,ORG00000311
Bekoji Town,ORG00000317,Arsi  ,ORG00000312,Oromia,ORG00000311
Belo Jegonfoy,ORG00000233,Kamashi,ORG00000228,Beneshangul Gumuz,ORG00000218
BenaTsemay,ORG00000817,South Omo ,ORG00000808,SNNPR,ORG00000668
Bensa,ORG00000779,Sidama  ,ORG00000775,SNNPR,ORG00000668
Berahle,ORG00000034,Fanti,ORG00000031,Afar,ORG00000013
Berano,ORG00000924,Shebele  ,ORG00000914,Somali,ORG00000843
Bereh,ORG00000451,Finfine Zuriya ,ORG00000449,Oromia,ORG00000311
Berehet,ORG00000118,N. Shoa,ORG00000109,Amhara,ORG00000053
Bero,ORG00000677,Bench Maji ,ORG00000669,SNNPR,ORG00000668
Beyeda,ORG00000107,N. Gonder,ORG00000085,Amhara,ORG00000053
Bibugn,ORG00000071,E. Gojam,ORG00000066,Amhara,ORG00000053
Bilo Nopa,ORG00000500,Illu Aba bora,ORG00000493,Oromia,ORG00000311
Birbirsa Kojowa,ORG00000637,West Guji,ORG00000631,Oromia,ORG00000311
Birqot,ORG00000862,Degehabur  ,ORG00000857,Somali,ORG00000843
Bishan Guracha Town,ORG00000615,West Arsi ,ORG00000613,Oromia,ORG00000311
Bishoftu Town,ORG00000417,E. Shewa ,ORG00000413,Oromia,ORG00000311
Bitta,ORG00000750,Kafa  ,ORG00000743,SNNPR,ORG00000668
Biyo Awale,ORG00000259,Dire Dawa,ORG00000257,Dire Dawa,ORG00000256
Boditi Town,ORG00000831,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Bodji Chokorsa,ORG00000649,West Wellega ,ORG00000644,Oromia,ORG00000311
Bodji Dirmeji,ORG00000653,West Wellega ,ORG00000644,Oromia,ORG00000311
Boke,ORG00000579,W. Harerge ,ORG00000571,Oromia,ORG00000311
Bokh,ORG00000869,Dollo  ,ORG00000868,Somali,ORG00000843
Bolle Subcity,ORG00000007,Addis Ababa,ORG00000002,Addis Ababa,ORG00000001
Boloso Bombe,ORG00000842,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Boloso Sore,ORG00000838,Wolayita  ,ORG00000827,SNNPR,ORG00000668
Bona Zurya,ORG00000781,Sidama  ,ORG00000775,SNNPR,ORG00000668
Boneya Bushe,ORG00000433,E. Wellega ,ORG00000431,Oromia,ORG00000311
Bonga,ORG00000751,Kafa  ,ORG00000743,SNNPR,ORG00000668
Bonke,ORG00000706,Gamo Gofa ,ORG00000692,SNNPR,ORG00000668
